"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"RP11-266K4.9","RP11-266K4.9","_","skew.7 novel",17.3,11.5,13.5,36.5,21.2,52,0,14,0,5,"0.00 (0/5)","chr 12",8388010,8395160,"lincRNA",98774,"distant candidate",-25,"inter clus 25",0.173076923076923
"RAB21","RAB21","_","bi",9.5,1.1,7.4,19.9,62.1,95,9,39,3,9,"0.00 (0/9)","chr 12",72148653,72184699,"protein_coding",153272,"distant candidate",-25,"inter clus 25",0.173076923076923
"DCTN4","DCTN4","_","bi",14.3,0,0,0,85.7,28,1,43,0,2,"0.00 (0/2)","chr 5",150088001,150138671,"protein_coding",90389,"distant candidate",-6,"inter clus 6",0.172413793103448
"AMY2B","AMY2B","_","skew.7 novel",4,0,32,48,16,25,4,33,0,2,"0.50 (1/2)","chr 1",104096436,104122156,"protein_coding",81737,"distant candidate",-2,"inter clus 2",0.172413793103448
"BAG3","BAG3","1 M impr clstr","skew.8 novel",9,27,21.3,33.7,9,89,10,7,2,4,"0.00 (0/4)","chr 10",121410881,121437331,"protein_coding",77541,"nearby candidate",19,"clus 19 (chr 10)",0.171717171717172
"AKAP6","AKAP6","_","bi",1.7,0,0,11.9,86.4,59,11,217,1,7,"0.14 (1/7)","chr 14",32798478,33300567,"protein_coding",214684,"distant candidate",-26,"inter clus 26",0.171428571428571
"SLC12A5","SLC12A5","_","bi",3.2,0,1.1,17.8,77.9,95,16,71,1,9,"0.11 (1/9)","chr 20",44650355,44688784,"protein_coding",155898,"distant candidate",-34,"inter clus 34",0.171171171171171
"RP11-281O15.7","RP11-281O15.7","_","bi",10.5,2.6,7.9,71.1,7.9,38,3,1,1,3,"0.67 (2/3)","chr 5",178509680,178510195,"pseudogene",73660,"distant candidate",-6,"inter clus 6",0.170731707317073
"VAV2","VAV2","_","bi",8.1,0,10.8,75.7,5.4,37,4,5,1,6,"0.00 (0/6)","chr 9",136627015,136857726,"protein_coding",117238,"distant candidate",-18,"inter clus 18",0.170731707317073
"SLC41A3","SLC41A3","_","bi",11.4,0,11.4,49.9,27.3,44,3,35,0,3,"0.00 (0/3)","chr 3",125725197,125820404,"protein_coding",118390,"distant candidate",-4,"inter clus 4",0.170212765957447
"RHOBTB3","RHOBTB3","_","bi",7.1,0,4.8,7.1,81,42,5,73,3,17,"0.06 (1/17)","chr 5",95049225,95160087,"protein_coding",187964,"distant candidate",-5,"inter clus 5",0.170212765957447
"SULT1A1","SULT1A1","_","skew.7 novel",11.6,16.6,33.1,35.4,3.3,181,13,14,0,12,"0.17 (2/12)","chr 16",28616902,28634946,"protein_coding",187131,"distant candidate",-29,"inter clus 29",0.170103092783505
"RP11-119F19.2","RP11-119F19.2","_","bi",16.7,0,5.6,74.9,2.8,36,0,14,0,1,"0.00 (0/1)","chr 10",81422843,81526085,"antisense",62339,"distant candidate",-18,"inter clus 18",0.166666666666667
"PAFAH1B1","PAFAH1B1","_","bi",13.5,5.8,9.6,65.3,5.8,52,2,176,0,5,"0.20 (1/5)","chr 17",2496503,2588909,"protein_coding",106813,"distant candidate",-29,"inter clus 29",0.166666666666667
"MRPS26","MRPS26","_","bi",12.8,0,0,12.7,74.5,47,2,37,0,1,"1.00 (1/1)","chr 20",3026590,3028900,"protein_coding",61851,"distant candidate",-32,"inter clus 32",0.163265306122449
"APOD","APOD","_","skew.8 novel",16.2,25.7,21.6,32.4,4.1,74,0,60,0,2,"0.00 (0/2)","chr 3",195295572,195311076,"protein_coding",56029,"distant candidate",-4,"inter clus 4",0.162162162162162
"CCDC69","CCDC69","_","skew.7 novel",16,0,36,48,0,25,0,3,1,6,"0.00 (0/6)","chr 5",150560612,150603706,"protein_coding",88327,"distant candidate",-6,"inter clus 6",0.16
"PCDH1","PCDH1","_","bi",12.9,0,2.4,55.3,29.4,85,3,25,0,1,"0.00 (0/1)","chr 5",141232937,141258811,"protein_coding",74895,"distant candidate",-6,"inter clus 6",0.159090909090909
"ACPL2","ACPL2","_","bi",11.4,5.1,10.1,70.9,2.5,79,4,16,1,6,"0.00 (0/6)","chr 3",140947567,141013748,"protein_coding",118996,"distant candidate",-4,"inter clus 4",0.156626506024096
"ZCCHC24","ZCCHC24","_","bi",0,2.5,9.9,53,34.6,81,15,20,2,9,"0.11 (1/9)","chr 10",81142080,81205383,"protein_coding",159191,"distant candidate",-18,"inter clus 18",0.15625
"TBC1D9B","TBC1D9B","_","bi",0,0,3.7,33.3,63,27,5,33,1,8,"0.00 (0/8)","chr 5",179289065,179334859,"protein_coding",122428,"distant candidate",-6,"inter clus 6",0.15625
"C1orf21","C1orf21","_","bi",5.6,2.5,8.1,67,16.8,161,19,54,1,10,"0.10 (1/10)","chr 1",184356191,184598154,"protein_coding",151646,"distant candidate",-2,"inter clus 2",0.155555555555556
"DEPTOR","DEPTOR","_","bi",0,9.2,9.2,50,31.6,76,14,13,2,5,"0.20 (1/5)","chr 8",120885956,121063152,"protein_coding",93860,"distant candidate",-15,"inter clus 15",0.155555555555556
"PACS2","PACS2","_","bi",10.9,0,3.6,52.8,32.7,55,3,32,0,6,"0.17 (1/6)","chr 14",105766899,105864484,"protein_coding",118739,"distant candidate",-27,"inter clus 27",0.155172413793103
"TMEM160","TMEM160","_","bi",15.5,0,5.6,32.4,46.5,71,0,51,0,1,"1.00 (1/1)","chr 19",47549164,47551888,"protein_coding",51475,"distant candidate",-31,"inter clus 31",0.154929577464789
"SLC39A3","SLC39A3","_","bi",7.7,3.5,12,59.9,16.9,142,13,16,0,5,"0.20 (1/5)","chr 19",2732201,2740150,"protein_coding",104185,"distant candidate",-30,"inter clus 30",0.154838709677419
"PCYT2","PCYT2","_","bi",8.3,0,8.3,45.9,37.5,24,2,25,0,3,"0.00 (0/2)","chr 17",79858840,79869340,"protein_coding",67702,"distant candidate",-29,"inter clus 29",0.153846153846154
"STPG1","STPG1","_","bi",0,0,18.2,81.8,0,22,4,7,4,7,"0.14 (1/7)","chr 1",24683488,24743424,"protein_coding",91252,"distant candidate",-1,"inter clus 1",0.153846153846154
"JDP2","JDP2","_","bi",0,0,18.2,75,6.8,44,8,13,3,8,"0.12 (1/8)","chr 14",75894418,75940814,"protein_coding",97906,"distant candidate",-26,"inter clus 26",0.153846153846154
"GUSBP1","GUSBP1","_","skew.7 novel",10.7,15.3,20.6,51.1,2.3,131,7,17,5,14,"0.14 (2/14)","chr 5",21341941,21589481,"processed_transcript",185381,"distant candidate",-5,"inter clus 5",0.152173913043478
"SEMA7A","SEMA7A","_","bi",8.2,1.4,5.5,54.8,30.1,73,6,20,1,2,"0.00 (0/2)","chr 15",74701629,74726808,"protein_coding",88522,"distant candidate",-28,"inter clus 28",0.151898734177215
"GET4","GET4","_","bi",4.7,0,2.8,61.7,30.8,107,13,15,0,5,"0.20 (1/5)","chr 7",916188,936073,"protein_coding",110864,"distant candidate",-10,"inter clus 10",0.15
"SYMPK","SYMPK","_","bi",10.8,1,13.7,66.7,7.8,102,5,14,1,4,"0.00 (0/4)","chr 19",46318667,46366548,"protein_coding",111799,"distant candidate",-31,"inter clus 31",0.149532710280374
"OLFM1","OLFM1","_","bi",3.4,3.4,15.3,57.6,20.3,59,8,356,1,4,"0.00 (0/4)","chr 9",137967267,138013025,"protein_coding",124830,"distant candidate",-18,"inter clus 18",0.149253731343284
"SPATA22","SPATA22","_","skew.7 novel",14.8,11.1,14.8,59.3,0,27,0,1,3,3,"0.00 (0/3)","chr 17",3343312,3417146,"protein_coding",56453,"distant candidate",-29,"inter clus 29",0.148148148148148
"PLEKHG1","PLEKHG1","_","bi",11.5,0,11.5,73.2,3.8,26,1,5,4,11,"0.00 (0/11)","chr 6",150920998,151164799,"protein_coding",199315,"distant candidate",-9,"inter clus 9",0.148148148148148
"PCDHB10","PCDHB10","_","skew.7 novel",0,23.8,38.1,38.1,0,21,6,4,0,2,"1.00 (2/2)","chr 5",140571941,140575215,"protein_coding",76927,"distant candidate",-6,"inter clus 6",0.148148148148148
"DKFZP779J2370","DKFZP779J2370","_","bi",7.9,1.6,14.3,66.7,9.5,63,5,2,0,3,"0.00 (0/3)","chr 15",100255907,100258029,"protein_coding",97183,"distant candidate",-28,"inter clus 28",0.147058823529412
"IGFBP7","IGFBP7","_","bi",14.6,0,4.9,46.4,34.1,41,0,84,0,1,"1.00 (1/1)","chr 4",57896938,57976551,"protein_coding",49244,"distant candidate",-4,"inter clus 4",0.146341463414634
"UNC80","UNC80","_","bi",3.8,1.9,2.5,44.3,47.5,158,20,33,0,7,"0.14 (1/7)","chr 2",210636716,210864024,"protein_coding",179426,"distant candidate",-4,"inter clus 4",0.146067415730337
"CTD-2228K2.7","CTD-2228K2.7","_","skew.7 novel",10.8,17.1,34.2,34.1,3.8,158,7,7,2,19,"0.26 (5/19)","chr 5",473350,480999,"antisense",193803,"distant candidate",-5,"inter clus 5",0.145454545454546
"RNF126","RNF126","_","bi",13.1,4.9,6.6,72.1,3.3,61,1,10,0,4,"0.00 (0/4)","chr 19",647525,663277,"protein_coding",95021,"distant candidate",-30,"inter clus 30",0.145161290322581
"CUL4A","CUL4A","_","bi",14.3,2.9,0,65.7,17.1,35,0,27,0,1,"0.00 (0/1)","chr 13",113862551,113919399,"protein_coding",70910,"distant candidate",-26,"inter clus 26",0.142857142857143
"AC007000.10","AC007000.10","1 M impr clstr","skew.7 novel",12.1,15.2,39.4,33.3,0,33,2,4,0,2,"1.00 (2/2)","chr 7",76701067,76701554,"pseudogene",62395,"nearby candidate",12,"clus 12 (chr 7)",0.142857142857143
"CAPN15","CAPN15","_","skew.7 novel",6.2,18.8,9.4,62.5,3.1,32,3,4,0,8,"0.00 (0/8)","chr 16",577716,604636,"protein_coding",131543,"distant candidate",-28,"inter clus 28",0.142857142857143
"NR1D2","NR1D2","_","skew.7 novel",10.7,6.7,13.3,54.6,14.7,75,3,51,0,4,"0.00 (0/4)","chr 3",23986750,24022109,"protein_coding",94601,"distant candidate",-4,"inter clus 4",0.141025641025641
"RGCC","RGCC","_","bi",14,0,1.9,33.6,50.5,107,0,73,0,1,"0.00 (0/1)","chr 13",42031694,42045018,"protein_coding",52714,"distant candidate",-25,"inter clus 25",0.14018691588785
"DDX42","DDX42","_","bi",6.5,0,2.2,41.3,50,46,4,42,0,4,"0.25 (1/4)","chr 17",61850962,61896677,"protein_coding",108349,"distant candidate",-29,"inter clus 29",0.14
"CLEC11A","CLEC11A","_","bi",12.5,9.4,4.7,71.8,1.6,64,1,2,0,3,"0.00 (0/2)","chr 19",51226585,51228974,"protein_coding",66757,"distant candidate",-31,"inter clus 31",0.138461538461538
"C11orf96","C11orf96","_","bi",13.8,6.9,3.4,65.6,10.3,29,0,4,0,5,"0.00 (0/5)","chr 11",43946891,43965888,"protein_coding",66380,"distant candidate",-21,"inter clus 21",0.137931034482759
"HTATSF1P2","HTATSF1P2","1 M impr clstr","skew.7 novel",13.8,6.9,31,48.3,0,29,0,4,0,4,"0.00 (0/4)","chr 6",3023375,3024006,"pseudogene",79281,"nearby candidate",7,"clus 7 (chr 6)",0.137931034482759
"LY6E","LY6E","_","bi",12.5,0,2,29,56.5,200,3,39,0,1,"0.00 (0/1)","chr 8",144099398,144105249,"protein_coding",69790,"distant candidate",-17,"inter clus 17",0.137931034482759
"NTM","NTM","known_imprinted","bi",10.7,0,0,25,64.3,28,1,154,0,4,"0.00 (0/4)","chr 11",131240372,132206716,"protein_coding",90603,"known imprinted",24,"clus 24 (chr 11)",0.137931034482759
"IPO9","IPO9","_","bi",2.2,6.7,13.3,77.8,0,45,6,16,2,8,"0.12 (1/8)","chr 1",201798268,201853422,"protein_coding",155004,"distant candidate",-2,"inter clus 2",0.137254901960784
"SOGA2","SOGA2","_","bi",1.7,5.2,15.5,69.8,7.8,116,16,22,3,19,"0.00 (0/18)","chr 18",8705658,8832776,"protein_coding",232381,"distant candidate",-29,"inter clus 29",0.136363636363636
"FAM153B","FAM153B","_","skew.7 novel",5.6,13,16.7,59.1,5.6,54,5,32,0,3,"0.33 (1/3)","chr 5",175487691,175559261,"protein_coding",99750,"distant candidate",-6,"inter clus 6",0.135593220338983
"OR2L13","OR2L13","_","skew.7 novel",13.5,16.2,18.9,47.3,4.1,74,0,4,2,5,"0.20 (1/5)","chr 1",248100492,248264224,"protein_coding",99266,"distant candidate",-2,"inter clus 2",0.135135135135135
"ARHGAP39","ARHGAP39","_","bi",13.5,8.1,8.1,59.5,10.8,37,0,6,0,6,"0.00 (0/5)","chr 8",145754562,145911194,"protein_coding",110186,"distant candidate",-17,"inter clus 17",0.135135135135135
"SURF6","SURF6","_","bi",2.2,0,6.5,73.9,17.4,46,6,11,3,5,"0.00 (0/5)","chr 9",136197551,136203235,"protein_coding",80207,"distant candidate",-18,"inter clus 18",0.134615384615385
"EDEM1","EDEM1","_","bi",5.3,5.9,5.9,72.3,10.6,170,16,7,2,11,"0.20 (2/10)","chr 3",5229330,5261642,"protein_coding",198168,"distant candidate",-4,"inter clus 4",0.134408602150538
"RP11-216L13.19","RP11-216L13.19","_","bi",8.5,0,4.2,29.6,57.7,71,4,1,3,5,"0.20 (1/5)","chr 9",139693674,139704494,"retained_intron",73855,"distant candidate",-18,"inter clus 18",0.133333333333333
"SLC1A1","SLC1A1","1 M impr clstr","bi",2.8,0.9,5.6,31.8,58.9,107,13,22,3,6,"0.17 (1/6)","chr 9",4490443,4587469,"protein_coding",104335,"nearby candidate",18,"clus 18 (chr 9)",0.133333333333333
"TIAM2","TIAM2","_","bi",2.5,2.5,10,80,5,40,5,43,4,10,"0.00 (0/9)","chr 6",155153830,155578857,"protein_coding",138434,"distant candidate",-9,"inter clus 9",0.133333333333333
"STX16","STX16","1 M impr clstr","bi",2.9,5.8,4.3,47.6,39.4,208,25,31,1,8,"0.25 (2/8)","chr 20",57226327,57254582,"protein_coding",136479,"nearby candidate",35,"clus 35 (chr 20)",0.133047210300429
"ZNF787","ZNF787","1 M impr clstr","bi",11.3,6,10.5,58.7,13.5,133,3,7,0,4,"0.00 (0/4)","chr 19",56598731,56632649,"protein_coding",91692,"nearby candidate",32,"clus 32 (chr 19)",0.132352941176471
"ETNPPL","ETNPPL","_","bi",8.3,2.8,11.1,52.8,25,36,2,99,0,4,"0.00 (0/4)","chr 4",109663195,109684210,"protein_coding",88767,"distant candidate",-5,"inter clus 5",0.131578947368421
"TP53RK","TP53RK","_","bi",11.1,0,6.7,82.2,0,45,1,10,1,4,"0.00 (0/4)","chr 20",45313003,45318418,"protein_coding",102888,"distant candidate",-34,"inter clus 34",0.130434782608696
"B3GAT1","B3GAT1","_","bi",4.8,3.2,7.9,33.3,50.8,63,6,56,6,24,"0.00 (0/24)","chr 11",134248397,134281812,"protein_coding",247492,"distant candidate",-24,"inter clus 24",0.130434782608696
"TIMM44","TIMM44","_","bi",13,0,7.8,66.2,13,77,0,18,0,4,"0.00 (0/4)","chr 19",7991602,8008805,"protein_coding",95406,"distant candidate",-30,"inter clus 30",0.12987012987013
"ZNF285","ZNF285","_","skew.7 novel",3.8,13.3,19,62.9,1,105,11,7,2,6,"0.00 (0/6)","chr 19",44886458,44905774,"protein_coding",127900,"distant candidate",-31,"inter clus 31",0.129310344827586
"BROX","BROX","_","bi",6.9,3.4,13.8,38,37.9,29,2,38,1,5,"0.00 (0/5)","chr 1",222885894,222908538,"protein_coding",88882,"distant candidate",-2,"inter clus 2",0.129032258064516
"RP1-90J20.12","RP1-90J20.12","1 M impr clstr","skew.7 novel",3.3,17.6,29.7,47.2,2.2,91,10,3,0,19,"0.16 (3/19)","chr 6",3020387,3022984,"lincRNA",259275,"nearby candidate",7,"clus 7 (chr 6)",0.128712871287129
"KCNC1","KCNC1","_","bi",10.5,0,5.3,81.6,2.6,38,1,15,1,7,"0.00 (0/7)","chr 11",17756358,17804602,"protein_coding",121194,"distant candidate",-20,"inter clus 20",0.128205128205128
"HERC2","HERC2","_","bi",1,1,2.9,34.9,60.2,103,14,33,2,8,"0.00 (0/8)","chr 15",28356185,28567298,"protein_coding",183568,"distant candidate",-28,"inter clus 28",0.128205128205128
"METTL10","METTL10","_","bi",6.8,0,9.1,79.6,4.5,44,3,25,2,4,"0.25 (1/4)","chr 10",126436717,126480439,"protein_coding",88055,"distant candidate",-19,"inter clus 19",0.127659574468085
"KCNS1","KCNS1","1 M impr clstr","skew.7 novel",4.9,11.9,17.5,54.5,11.2,143,14,16,1,8,"0.12 (1/8)","chr 20",43720950,43729753,"protein_coding",125123,"nearby candidate",34,"clus 34 (chr 20)",0.127388535031847
"PYURF","PYURF","1 M impr clstr","bi",12.7,0,1.4,26.7,59.2,71,0,16,0,2,"0.00 (0/2)","chr 4",89442135,89444964,"protein_coding",67689,"nearby candidate",5,"clus 5 (chr 4)",0.126760563380282
"GSTM5","GSTM5","_","skew.8 novel",12.6,27.6,19.5,33.4,6.9,87,0,12,2,6,"0.20 (1/5)","chr 1",110254863,110318050,"protein_coding",101580,"distant candidate",-2,"inter clus 2",0.126436781609195
"STARD3NL","STARD3NL","_","bi",1.3,0,2.6,77.9,18.2,77,10,40,0,4,"0.25 (1/4)","chr 7",38217823,38270272,"protein_coding",79572,"distant candidate",-10,"inter clus 10",0.126436781609195
"HCN2","HCN2","_","bi",1.7,4.7,5.2,44.2,44.2,233,30,13,0,10,"0.50 (5/10)","chr 19",589892,617159,"protein_coding",161623,"distant candidate",-30,"inter clus 30",0.125475285171103
"ZNF208","ZNF208","_","skew.8 novel",12.5,28.1,9.4,46.9,3.1,32,0,7,0,8,"0.12 (1/8)","chr 19",22115759,22193751,"protein_coding",98622,"distant candidate",-31,"inter clus 31",0.125
"ADRA2C","ADRA2C","_","bi",12.5,6.2,6.2,68.9,6.2,32,0,2,0,2,"0.00 (0/2)","chr 4",3768074,3770251,"protein_coding",61994,"distant candidate",-4,"inter clus 4",0.125
"SEPT9","SEPT9","_","bi",3.4,4.6,8.6,65,18.4,174,18,36,0,12,"0.11 (1/9)","chr 17",75276650,75496678,"protein_coding",183282,"distant candidate",-29,"inter clus 29",0.125
"GID8","GID8","_","bi",0,0,21.4,78.6,0,28,4,20,0,1,"0.00 (0/1)","chr 20",61569470,61576996,"protein_coding",56867,"distant candidate",-35,"inter clus 35",0.125
"RAB22A","RAB22A","1 M impr clstr","bi",0.8,3.3,7.4,50.5,38,121,16,20,5,12,"0.17 (2/12)","chr 20",56884751,56942563,"protein_coding",194132,"nearby candidate",35,"clus 35 (chr 20)",0.124087591240876
"FAM86A","FAM86A","_","bi",12.4,4.8,4.8,67.5,10.5,105,0,2,0,3,"0.00 (0/3)","chr 16",5134304,5147809,"protein_coding",68158,"distant candidate",-29,"inter clus 29",0.123809523809524
"BAG4","BAG4","_","bi",10.1,0,0,6.4,83.5,79,2,39,0,2,"0.00 (0/2)","chr 8",38034050,38070819,"protein_coding",75015,"distant candidate",-15,"inter clus 15",0.123456790123457
"SEMA6B","SEMA6B","_","skew.7 novel",10.7,3.6,17.9,66,1.8,56,1,20,0,2,"0.00 (0/2)","chr 19",4542599,4559820,"protein_coding",67222,"distant candidate",-30,"inter clus 30",0.12280701754386
"SCPEP1","SCPEP1","_","bi",9.1,1.8,0,76.4,12.7,55,2,22,1,3,"0.33 (1/3)","chr 17",55055465,55084129,"protein_coding",63428,"distant candidate",-29,"inter clus 29",0.12280701754386
"MRPL45","MRPL45","_","bi",7.4,1.9,1.9,72.1,16.7,54,3,12,1,3,"0.00 (0/3)","chr 17",36452988,36479101,"protein_coding",67596,"distant candidate",-29,"inter clus 29",0.12280701754386
"MOG","MOG","_","skew.7 novel",0,22.4,22.4,50.5,4.7,85,13,44,2,6,"0.00 (0/6)","chr 6",29624757,29640149,"protein_coding",109013,"distant candidate",-7,"inter clus 7",0.122448979591837
"PLD3","PLD3","_","bi",12,0,2.4,20.5,65.1,83,0,169,0,2,"0.50 (1/2)","chr 19",40854362,40886346,"protein_coding",58063,"distant candidate",-31,"inter clus 31",0.120481927710843
"ST6GALNAC2","ST6GALNAC2","_","skew.7 novel",2.9,11,17.9,40.5,27.7,173,18,1,0,14,"0.07 (1/14)","chr 17",74559791,74583038,"protein_coding",190779,"distant candidate",-29,"inter clus 29",0.120418848167539
"RBP4","RBP4","_","bi",12,0,8,76,4,25,0,16,0,2,"0.00 (0/2)","chr 10",95351443,95361501,"protein_coding",58331,"distant candidate",-18,"inter clus 18",0.12
"PCDHB12","PCDHB12","_","bi",12,0,16,72,0,25,0,4,2,2,"0.50 (1/2)","chr 5",140588268,140591696,"protein_coding",62485,"distant candidate",-6,"inter clus 6",0.12
"EGLN1","EGLN1","_","bi",12,0,4,52,32,25,0,35,0,1,"0.00 (0/1)","chr 1",231499496,231560790,"protein_coding",73044,"distant candidate",-2,"inter clus 2",0.12
"SFXN3","SFXN3","_","bi",8.3,8.3,8.3,70.9,4.2,24,1,22,0,3,"0.00 (0/1)","chr 10",102790990,102800998,"protein_coding",104430,"distant candidate",-18,"inter clus 18",0.12
"RGMA","RGMA","_","bi",5.5,7.3,13.8,67.9,5.5,109,8,9,2,8,"0.25 (2/8)","chr 15",93586635,93632433,"protein_coding",115566,"distant candidate",-28,"inter clus 28",0.11965811965812
"GNG7","GNG7","_","bi",0.4,3,5.6,61.8,29.2,233,30,14,1,8,"0.50 (4/8)","chr 19",2511216,2702707,"protein_coding",155686,"distant candidate",-30,"inter clus 30",0.11787072243346
"GINM1","GINM1","_","bi",11.9,0,3.6,55.9,28.6,84,1,20,0,4,"0.00 (0/4)","chr 6",149887429,149912884,"protein_coding",88069,"distant candidate",-9,"inter clus 9",0.117647058823529
"KLHL28","KLHL28","_","bi",10.4,0,0,58.3,31.3,67,1,13,1,5,"0.00 (0/5)","chr 14",45393521,45511525,"protein_coding",127023,"distant candidate",-26,"inter clus 26",0.117647058823529
"SCAF8","SCAF8","_","bi",9.1,0,0,36.4,54.5,33,1,30,0,2,"0.00 (0/2)","chr 6",155054458,155155192,"protein_coding",64925,"distant candidate",-9,"inter clus 9",0.117647058823529
"REXO4","REXO4","_","bi",6.2,0,8.7,78.9,6.2,80,5,8,1,8,"0.12 (1/8)","chr 9",136271185,136283164,"protein_coding",128221,"distant candidate",-18,"inter clus 18",0.117647058823529
"NCS1","NCS1","_","bi",0.8,2,7,9.9,80.3,244,30,117,0,14,"0.14 (2/14)","chr 9",132934856,132999583,"protein_coding",239788,"distant candidate",-18,"inter clus 18",0.116788321167883
"LMO4","LMO4","_","bi",9.9,2,2,35.6,50.5,101,2,164,1,12,"0.08 (1/12)","chr 1",87794150,87814606,"protein_coding",173151,"distant candidate",-2,"inter clus 2",0.116504854368932
"SV2A","SV2A","_","bi",3.4,0.8,0.8,28.1,66.9,118,11,52,1,4,"0.25 (1/4)","chr 1",149874869,149889434,"protein_coding",98692,"distant candidate",-2,"inter clus 2",0.116279069767442
"PPAN","PPAN","1 M impr clstr","bi",2.6,2.6,7.7,84.5,2.6,39,4,9,1,5,"0.00 (0/5)","chr 19",10216964,10225414,"protein_coding",92924,"nearby candidate",31,"clus 31 (chr 19)",0.116279069767442
"CTA-29F11.1","CTA-29F11.1","_","bi",11.5,0,3.8,61.6,23.1,26,0,5,0,1,NA,"chr 22",47157790,47158460,"antisense",63280,"distant candidate",-36,"inter clus 36",0.115384615384615
"GPALPP1","GPALPP1","_","skew.7 novel",4.2,4.2,29.2,58.2,4.2,24,2,38,0,5,"0.00 (0/5)","chr 13",45563686,45607746,"protein_coding",94653,"distant candidate",-25,"inter clus 25",0.115384615384615
"MANBAL","MANBAL","1 M impr clstr","bi",3.5,1.5,5.5,34.7,54.8,199,18,25,1,6,"0.17 (1/6)","chr 20",35918040,35945663,"protein_coding",99336,"nearby candidate",33,"clus 33 (chr 20)",0.115207373271889
"ZNF880","ZNF880","_","bi",3.1,0,15.6,81.3,0,32,3,22,4,8,"0.00 (0/8)","chr 19",52873169,52889048,"protein_coding",159964,"distant candidate",-31,"inter clus 31",0.114285714285714
"ITIH5","ITIH5","_","bi",3.1,0,9.4,71.9,15.6,32,3,6,4,13,"0.00 (0/13)","chr 10",7601231,7708961,"protein_coding",215302,"distant candidate",-18,"inter clus 18",0.114285714285714
"ZNF717","ZNF717","_","bi",3.4,5.6,11.3,72.9,6.8,177,16,14,0,11,"0.09 (1/11)","chr 3",75758793,75834734,"protein_coding",402904,"distant candidate",-4,"inter clus 4",0.113989637305699
"CHKA","CHKA","_","bi",9.1,0,5.2,76.6,9.1,77,2,30,0,4,"0.25 (1/4)","chr 11",67820325,67888911,"protein_coding",81200,"distant candidate",-21,"inter clus 21",0.113924050632911
"RP11-802E16.3","RP11-802E16.3","_","bi",9.1,0,5.2,76.6,9.1,77,2,2,0,4,"0.25 (1/4)","chr 11",67818206,67821229,"antisense",80637,"distant candidate",-21,"inter clus 21",0.113924050632911
"SUN1","SUN1","_","bi",3.1,3.1,3.1,61.2,29.5,129,12,64,2,14,"0.00 (0/14)","chr 7",855527,936072,"protein_coding",163448,"distant candidate",-10,"inter clus 10",0.113475177304965
"ALG1","ALG1","_","bi",7.3,5.5,7.3,68.1,11.8,110,5,8,0,8,"0.00 (0/8)","chr 16",5083702,5137380,"protein_coding",139095,"distant candidate",-29,"inter clus 29",0.11304347826087
"DIRAS1","DIRAS1","_","bi",6.9,1.5,5.7,30.7,55.2,261,14,27,0,17,"0.18 (3/17)","chr 19",2714564,2721416,"protein_coding",200911,"distant candidate",-30,"inter clus 30",0.112727272727273
"ARHGDIB","ARHGDIB","_","bi",11.1,4.4,11.1,66.7,6.7,45,0,10,0,1,"0.00 (0/1)","chr 12",15094950,15114662,"protein_coding",58487,"distant candidate",-25,"inter clus 25",0.111111111111111
